roll_number,name,email,department_code,semester,year,division
CS5B024,Shruti Iyer,cs5b024@college.edu,CSE,5,3,B
CS5B025,Priya Desai,cs5b025@college.edu,CSE,5,3,B
CS5B026,Nikhil Rao,cs5b026@college.edu,CSE,5,3,B
CS5B027,Ananya Mehta,cs5b027@college.edu,CSE,5,3,B
CS5B028,Priya Iyer,cs5b028@college.edu,CSE,5,3,B
CS5B029,Sneha Nair,cs5b029@college.edu,CSE,5,3,B
CS5B030,Omkar Kulkarni,cs5b030@college.edu,CSE,5,3,B
CS5B031,Rahul Kulkarni,cs5b031@college.edu,CSE,5,3,B
CS5B032,Siddharth Sharma,cs5b032@college.edu,CSE,5,3,B
CS5B033,Yash Bose,cs5b033@college.edu,CSE,5,3,B
CS5B034,Nikhil Kapoor,cs5b034@college.edu,CSE,5,3,B
CS5B035,Kunal Chauhan,cs5b035@college.edu,CSE,5,3,B
CS5B036,Sneha Sharma,cs5b036@college.edu,CSE,5,3,B
CS5B037,Omkar Chauhan,cs5b037@college.edu,CSE,5,3,B
CS5B038,Nikita Kapoor,cs5b038@college.edu,CSE,5,3,B
CS5B039,Yash Chauhan,cs5b039@college.edu,CSE,5,3,B
CS5B040,Varun Kapoor,cs5b040@college.edu,CSE,5,3,B
CS5B041,Varun Sinha,cs5b041@college.edu,CSE,5,3,B
CS5B042,Kunal Bose,cs5b042@college.edu,CSE,5,3,B
CS5B043,Sameer Malhotra,cs5b043@college.edu,CSE,5,3,B
CS5B044,Nandini Joshi,cs5b044@college.edu,CSE,5,3,B
CS5B045,Akash Kulkarni,cs5b045@college.edu,CSE,5,3,B
CS5B046,Varun Rao,cs5b046@college.edu,CSE,5,3,B
CS5B047,Pallavi Joshi,cs5b047@college.edu,CSE,5,3,B
CS5B048,Riya Pillai,cs5b048@college.edu,CSE,5,3,B
CS5B049,Aditi Iyer,cs5b049@college.edu,CSE,5,3,B
CS5B050,Kritika Pillai,cs5b050@college.edu,CSE,5,3,B
CS5B051,Isha Patel,cs5b051@college.edu,CSE,5,3,B
CS5B052,Nikhil Shah,cs5b052@college.edu,CSE,5,3,B
CS5B053,Pallavi Joshi,cs5b053@college.edu,CSE,5,3,B
CS5B054,Shruti Mehta,cs5b054@college.edu,CSE,5,3,B
CS5B055,Sameer Mehta,cs5b055@college.edu,CSE,5,3,B
CS5B056,Nikita Sinha,cs5b056@college.edu,CSE,5,3,B
CS5B057,Sanya Sinha,cs5b057@college.edu,CSE,5,3,B
CS5B058,Nikhil Chauhan,cs5b058@college.edu,CSE,5,3,B
CS5B059,Diya Bose,cs5b059@college.edu,CSE,5,3,B
CS5B060,Aditya Pillai,cs5b060@college.edu,CSE,5,3,B
CS5C001,Omkar Sharma,cs5c001@college.edu,CSE,5,3,C
CS5C002,Shruti Rao,cs5c002@college.edu,CSE,5,3,C
CS5C003,Kunal Patel,cs5c003@college.edu,CSE,5,3,C
CS5C004,Sanya Desai,cs5c004@college.edu,CSE,5,3,C
CS5C005,Aditya Sinha,cs5c005@college.edu,CSE,5,3,C
CS5C006,Akash Kulkarni,cs5c006@college.edu,CSE,5,3,C
CS5C007,Pallavi Nair,cs5c007@college.edu,CSE,5,3,C
CS5C008,Nikita Malhotra,cs5c008@college.edu,CSE,5,3,C
CS5C009,Diya Kulkarni,cs5c009@college.edu,CSE,5,3,C
CS5C010,Nandini Joshi,cs5c010@college.edu,CSE,5,3,C
CS5C011,Akash Rao,cs5c011@college.edu,CSE,5,3,C
CS5C012,Nikita Rao,cs5c012@college.edu,CSE,5,3,C
CS5C013,Nikita Menon,cs5c013@college.edu,CSE,5,3,C
CS5C014,Siddharth Kapoor,cs5c014@college.edu,CSE,5,3,C
CS5C015,Kritika Chauhan,cs5c015@college.edu,CSE,5,3,C
CS5C016,Priya Nair,cs5c016@college.edu,CSE,5,3,C
CS5C017,Akash Desai,cs5c017@college.edu,CSE,5,3,C
CS5C018,Aarav Reddy,cs5c018@college.edu,CSE,5,3,C
CS5C019,Siddharth Bhatt,cs5c019@college.edu,CSE,5,3,C
CS5C020,Nikita Bose,cs5c020@college.edu,CSE,5,3,C
CS5C021,Rohan Gupta,cs5c021@college.edu,CSE,5,3,C
CS5C022,Karan Malhotra,cs5c022@college.edu,CSE,5,3,C
CS5C023,Harsh Joshi,cs5c023@college.edu,CSE,5,3,C
CS5C024,Priya Reddy,cs5c024@college.edu,CSE,5,3,C
CS5C025,Meera Gupta,cs5c025@college.edu,CSE,5,3,C
CS5C026,Priya Nair,cs5c026@college.edu,CSE,5,3,C
CS5C027,Pallavi Sinha,cs5c027@college.edu,CSE,5,3,C
CS5C028,Sameer Nair,cs5c028@college.edu,CSE,5,3,C
CS5C029,Vivek Kulkarni,cs5c029@college.edu,CSE,5,3,C
CS5C030,Shruti Malhotra,cs5c030@college.edu,CSE,5,3,C
CS5C031,Varun Rao,cs5c031@college.edu,CSE,5,3,C
CS5C032,Sanya Gupta,cs5c032@college.edu,CSE,5,3,C
CS5C033,Pallavi Kapoor,cs5c033@college.edu,CSE,5,3,C
CS5C034,Vivek Shah,cs5c034@college.edu,CSE,5,3,C
CS5C035,Priya Rao,cs5c035@college.edu,CSE,5,3,C
CS5C036,Rahul Bose,cs5c036@college.edu,CSE,5,3,C
CS5C037,Omkar Desai,cs5c037@college.edu,CSE,5,3,C
CS5C038,Aditya Mehta,cs5c038@college.edu,CSE,5,3,C
CS5C039,Vivek Malhotra,cs5c039@college.edu,CSE,5,3,C
CS5C040,Ananya Kulkarni,cs5c040@college.edu,CSE,5,3,C
CS5C041,Kunal Patel,cs5c041@college.edu,CSE,5,3,C
CS5C042,Diya Joshi,cs5c042@college.edu,CSE,5,3,C
CS5C043,Diya Sharma,cs5c043@college.edu,CSE,5,3,C
CS5C044,Harsh Sharma,cs5c044@college.edu,CSE,5,3,C
CS5C045,Harsh Malhotra,cs5c045@college.edu,CSE,5,3,C
CS5C046,Sameer Bhatt,cs5c046@college.edu,CSE,5,3,C
CS5C047,Ananya Malhotra,cs5c047@college.edu,CSE,5,3,C
CS5C048,Aditi Gupta,cs5c048@college.edu,CSE,5,3,C
CS5C049,Meera Gupta,cs5c049@college.edu,CSE,5,3,C
CS5C050,Rohan Chauhan,cs5c050@college.edu,CSE,5,3,C
CS5C051,Aarav Pillai,cs5c051@college.edu,CSE,5,3,C
CS5C052,Kritika Pillai,cs5c052@college.edu,CSE,5,3,C
CS5C053,Akash Gupta,cs5c053@college.edu,CSE,5,3,C
CS5C054,Diya Mehta,cs5c054@college.edu,CSE,5,3,C
CS5C055,Nikita Joshi,cs5c055@college.edu,CSE,5,3,C
CS5C056,Kunal Rao,cs5c056@college.edu,CSE,5,3,C
CS5C057,Aditya Rao,cs5c057@college.edu,CSE,5,3,C
CS5C058,Aarav Malhotra,cs5c058@college.edu,CSE,5,3,C
CS5C059,Kritika Sinha,cs5c059@college.edu,CSE,5,3,C
CS5C060,Rohan Pillai,cs5c060@college.edu,CSE,5,3,C
IT5A001,Sanya Kulkarni,it5a001@college.edu,IT,5,3,A
IT5A002,Akash Joshi,it5a002@college.edu,IT,5,3,A
IT5A003,Kunal Pillai,it5a003@college.edu,IT,5,3,A
IT5A004,Yash Malhotra,it5a004@college.edu,IT,5,3,A
IT5A005,Diya Pillai,it5a005@college.edu,IT,5,3,A
IT5A006,Priya Malhotra,it5a006@college.edu,IT,5,3,A
IT5A007,Pallavi Joshi,it5a007@college.edu,IT,5,3,A
IT5A008,Sanya Patel,it5a008@college.edu,IT,5,3,A
IT5A009,Rohan Malhotra,it5a009@college.edu,IT,5,3,A
IT5A010,Tanvi Sinha,it5a010@college.edu,IT,5,3,A
IT5A011,Diya Sharma,it5a011@college.edu,IT,5,3,A
IT5A012,Riya Reddy,it5a012@college.edu,IT,5,3,A
IT5A013,Kritika Iyer,it5a013@college.edu,IT,5,3,A
IT5A014,Sneha Rao,it5a014@college.edu,IT,5,3,A
IT5A015,Kunal Menon,it5a015@college.edu,IT,5,3,A
IT5A016,Yash Kulkarni,it5a016@college.edu,IT,5,3,A
IT5A017,Harsh Joshi,it5a017@college.edu,IT,5,3,A
IT5A018,Riya Pillai,it5a018@college.edu,IT,5,3,A
IT5A019,Aditi Bose,it5a019@college.edu,IT,5,3,A
IT5A020,Nandini Iyer,it5a020@college.edu,IT,5,3,A
IT5A021,Aarav Chauhan,it5a021@college.edu,IT,5,3,A
IT5A022,Nandini Sinha,it5a022@college.edu,IT,5,3,A
IT5A023,Priya Sharma,it5a023@college.edu,IT,5,3,A
IT5A024,Kunal Sinha,it5a024@college.edu,IT,5,3,A
IT5A025,Meera Sinha,it5a025@college.edu,IT,5,3,A
IT5A026,Sameer Nair,it5a026@college.edu,IT,5,3,A
IT5A027,Harsh Nair,it5a027@college.edu,IT,5,3,A
IT5A028,Siddharth Desai,it5a028@college.edu,IT,5,3,A
IT5A029,Nandini Malhotra,it5a029@college.edu,IT,5,3,A
IT5A030,Riya Bose,it5a030@college.edu,IT,5,3,A
IT5A031,Priya Patel,it5a031@college.edu,IT,5,3,A
IT5A032,Kritika Rao,it5a032@college.edu,IT,5,3,A
IT5A033,Karan Bhatt,it5a033@college.edu,IT,5,3,A
IT5A034,Vivek Kulkarni,it5a034@college.edu,IT,5,3,A
IT5A035,Kritika Bose,it5a035@college.edu,IT,5,3,A
IT5A036,Aditya Shah,it5a036@college.edu,IT,5,3,A
IT5A037,Varun Iyer,it5a037@college.edu,IT,5,3,A
IT5A038,Nandini Malhotra,it5a038@college.edu,IT,5,3,A
IT5A039,Isha Shah,it5a039@college.edu,IT,5,3,A
IT5A040,Kritika Menon,it5a040@college.edu,IT,5,3,A
IT5A041,Riya Bose,it5a041@college.edu,IT,5,3,A
IT5A042,Aditya Bhatt,it5a042@college.edu,IT,5,3,A
IT5A043,Siddharth Joshi,it5a043@college.edu,IT,5,3,A
IT5A044,Kunal Kulkarni,it5a044@college.edu,IT,5,3,A
IT5A045,Priya Patel,it5a045@college.edu,IT,5,3,A
IT5A046,Aditi Menon,it5a046@college.edu,IT,5,3,A
IT5A047,Siddharth Kulkarni,it5a047@college.edu,IT,5,3,A
IT5A048,Ananya Menon,it5a048@college.edu,IT,5,3,A
IT5A049,Pallavi Joshi,it5a049@college.edu,IT,5,3,A
IT5A050,Aditi Kulkarni,it5a050@college.edu,IT,5,3,A
IT5A051,Omkar Shah,it5a051@college.edu,IT,5,3,A
IT5A052,Akash Bose,it5a052@college.edu,IT,5,3,A
IT5A053,Nikita Desai,it5a053@college.edu,IT,5,3,A
IT5A054,Sanya Desai,it5a054@college.edu,IT,5,3,A
IT5A055,Siddharth Joshi,it5a055@college.edu,IT,5,3,A
IT5A056,Priya Mehta,it5a056@college.edu,IT,5,3,A
IT5A057,Shruti Mehta,it5a057@college.edu,IT,5,3,A
IT5A058,Siddharth Rao,it5a058@college.edu,IT,5,3,A
IT5A059,Aditi Patel,it5a059@college.edu,IT,5,3,A
IT5A060,Sanya Kapoor,it5a060@college.edu,IT,5,3,A
IT5B001,Ananya Sharma,it5b001@college.edu,IT,5,3,B
IT5B002,Priya Bhatt,it5b002@college.edu,IT,5,3,B
IT5B003,Kunal Kulkarni,it5b003@college.edu,IT,5,3,B
IT5B004,Meera Gupta,it5b004@college.edu,IT,5,3,B
IT5B005,Priya Menon,it5b005@college.edu,IT,5,3,B
IT5B006,Isha Pillai,it5b006@college.edu,IT,5,3,B
IT5B007,Pallavi Chauhan,it5b007@college.edu,IT,5,3,B
IT5B008,Aditya Sinha,it5b008@college.edu,IT,5,3,B
IT5B009,Omkar Bose,it5b009@college.edu,IT,5,3,B
IT5B010,Meera Sinha,it5b010@college.edu,IT,5,3,B
IT5B011,Ananya Gupta,it5b011@college.edu,IT,5,3,B
IT5B012,Rohan Kapoor,it5b012@college.edu,IT,5,3,B
IT5B013,Nandini Joshi,it5b013@college.edu,IT,5,3,B
IT5B014,Isha Kapoor,it5b014@college.edu,IT,5,3,B
IT5B015,Rohan Rao,it5b015@college.edu,IT,5,3,B
IT5B016,Priya Bose,it5b016@college.edu,IT,5,3,B
IT5B017,Ananya Menon,it5b017@college.edu,IT,5,3,B
IT5B018,Meera Bose,it5b018@college.edu,IT,5,3,B
IT5B019,Aditya Patel,it5b019@college.edu,IT,5,3,B
IT5B020,Kunal Kulkarni,it5b020@college.edu,IT,5,3,B
IT5B021,Ananya Pillai,it5b021@college.edu,IT,5,3,B
IT5B022,Rohan Desai,it5b022@college.edu,IT,5,3,B
IT5B023,Aditya Mehta,it5b023@college.edu,IT,5,3,B
IT5B024,Pallavi Nair,it5b024@college.edu,IT,5,3,B
IT5B025,Karan Desai,it5b025@college.edu,IT,5,3,B
IT5B026,Shruti Reddy,it5b026@college.edu,IT,5,3,B
IT5B027,Shruti Joshi,it5b027@college.edu,IT,5,3,B
IT5B028,Sameer Shah,it5b028@college.edu,IT,5,3,B
IT5B029,Akash Joshi,it5b029@college.edu,IT,5,3,B
IT5B030,Akash Shah,it5b030@college.edu,IT,5,3,B
IT5B031,Siddharth Mehta,it5b031@college.edu,IT,5,3,B
IT5B032,Harsh Chauhan,it5b032@college.edu,IT,5,3,B
IT5B033,Aditi Rao,it5b033@college.edu,IT,5,3,B
IT5B034,Omkar Pillai,it5b034@college.edu,IT,5,3,B
IT5B035,Nikhil Bose,it5b035@college.edu,IT,5,3,B
IT5B036,Rahul Bose,it5b036@college.edu,IT,5,3,B
IT5B037,Kunal Sinha,it5b037@college.edu,IT,5,3,B
IT5B038,Nandini Kulkarni,it5b038@college.edu,IT,5,3,B
IT5B039,Harsh Malhotra,it5b039@college.edu,IT,5,3,B
IT5B040,Harsh Shah,it5b040@college.edu,IT,5,3,B
IT5B041,Rahul Sinha,it5b041@college.edu,IT,5,3,B
IT5B042,Nikita Malhotra,it5b042@college.edu,IT,5,3,B
IT5B043,Nikita Sharma,it5b043@college.edu,IT,5,3,B
IT5B044,Sameer Chauhan,it5b044@college.edu,IT,5,3,B
IT5B045,Meera Kapoor,it5b045@college.edu,IT,5,3,B
IT5B046,Pallavi Bhatt,it5b046@college.edu,IT,5,3,B
IT5B047,Isha Joshi,it5b047@college.edu,IT,5,3,B
IT5B048,Rohan Gupta,it5b048@college.edu,IT,5,3,B
IT5B049,Meera Joshi,it5b049@college.edu,IT,5,3,B
IT5B050,Harsh Kapoor,it5b050@college.edu,IT,5,3,B
IT5B051,Aditi Sharma,it5b051@college.edu,IT,5,3,B
IT5B052,Sameer Rao,it5b052@college.edu,IT,5,3,B
IT5B053,Nikita Desai,it5b053@college.edu,IT,5,3,B
IT5B054,Sanya Bhatt,it5b054@college.edu,IT,5,3,B
IT5B055,Harsh Mehta,it5b055@college.edu,IT,5,3,B
IT5B056,Aarav Reddy,it5b056@college.edu,IT,5,3,B
IT5B057,Nandini Shah,it5b057@college.edu,IT,5,3,B
IT5B058,Shruti Desai,it5b058@college.edu,IT,5,3,B
IT5B059,Kunal Chauhan,it5b059@college.edu,IT,5,3,B
IT5B060,Ananya Pillai,it5b060@college.edu,IT,5,3,B
IT5C001,Sameer Sharma,it5c001@college.edu,IT,5,3,C
IT5C002,Harsh Chauhan,it5c002@college.edu,IT,5,3,C
IT5C003,Akash Pillai,it5c003@college.edu,IT,5,3,C
IT5C004,Diya Shah,it5c004@college.edu,IT,5,3,C
IT5C005,Shruti Kulkarni,it5c005@college.edu,IT,5,3,C
IT5C006,Ananya Patel,it5c006@college.edu,IT,5,3,C
IT5C007,Vivek Pillai,it5c007@college.edu,IT,5,3,C
IT5C008,Pallavi Bose,it5c008@college.edu,IT,5,3,C
IT5C009,Priya Reddy,it5c009@college.edu,IT,5,3,C
IT5C010,Karan Joshi,it5c010@college.edu,IT,5,3,C
IT5C011,Sameer Bhatt,it5c011@college.edu,IT,5,3,C
IT5C012,Priya Malhotra,it5c012@college.edu,IT,5,3,C
IT5C013,Sameer Gupta,it5c013@college.edu,IT,5,3,C
IT5C014,Kritika Bose,it5c014@college.edu,IT,5,3,C
IT5C015,Diya Malhotra,it5c015@college.edu,IT,5,3,C
IT5C016,Aditi Gupta,it5c016@college.edu,IT,5,3,C
IT5C017,Vivek Pillai,it5c017@college.edu,IT,5,3,C
IT5C018,Ananya Kapoor,it5c018@college.edu,IT,5,3,C
IT5C019,Diya Reddy,it5c019@college.edu,IT,5,3,C
IT5C020,Sneha Sinha,it5c020@college.edu,IT,5,3,C
IT5C021,Sameer Malhotra,it5c021@college.edu,IT,5,3,C
IT5C022,Ananya Nair,it5c022@college.edu,IT,5,3,C
IT5C023,Vivek Sinha,it5c023@college.edu,IT,5,3,C
IT5C024,Aditi Nair,it5c024@college.edu,IT,5,3,C
IT5C025,Aditi Iyer,it5c025@college.edu,IT,5,3,C
IT5C026,Rohan Chauhan,it5c026@college.edu,IT,5,3,C
IT5C027,Diya Chauhan,it5c027@college.edu,IT,5,3,C
IT5C028,Aarav Bhatt,it5c028@college.edu,IT,5,3,C
IT5C029,Kunal Chauhan,it5c029@college.edu,IT,5,3,C
IT5C030,Nandini Joshi,it5c030@college.edu,IT,5,3,C
IT5C031,Sameer Bhatt,it5c031@college.edu,IT,5,3,C
IT5C032,Nandini Sharma,it5c032@college.edu,IT,5,3,C
IT5C033,Yash Shah,it5c033@college.edu,IT,5,3,C
IT5C034,Sameer Bose,it5c034@college.edu,IT,5,3,C
IT5C035,Omkar Sinha,it5c035@college.edu,IT,5,3,C
IT5C036,Isha Patel,it5c036@college.edu,IT,5,3,C
IT5C037,Yash Iyer,it5c037@college.edu,IT,5,3,C
IT5C038,Nikita Bhatt,it5c038@college.edu,IT,5,3,C
IT5C039,Kunal Sharma,it5c039@college.edu,IT,5,3,C
IT5C040,Harsh Malhotra,it5c040@college.edu,IT,5,3,C
IT5C041,Kunal Kapoor,it5c041@college.edu,IT,5,3,C
IT5C042,Shruti Kulkarni,it5c042@college.edu,IT,5,3,C
IT5C043,Sameer Patel,it5c043@college.edu,IT,5,3,C
IT5C044,Ananya Chauhan,it5c044@college.edu,IT,5,3,C
IT5C045,Pallavi Nair,it5c045@college.edu,IT,5,3,C
IT5C046,Akash Bhatt,it5c046@college.edu,IT,5,3,C
IT5C047,Siddharth Iyer,it5c047@college.edu,IT,5,3,C
IT5C048,Karan Bhatt,it5c048@college.edu,IT,5,3,C
IT5C049,Nandini Sharma,it5c049@college.edu,IT,5,3,C
IT5C050,Rahul Bhatt,it5c050@college.edu,IT,5,3,C
IT5C051,Priya Nair,it5c051@college.edu,IT,5,3,C
IT5C052,Diya Malhotra,it5c052@college.edu,IT,5,3,C
IT5C053,Isha Sharma,it5c053@college.edu,IT,5,3,C
IT5C054,Karan Kulkarni,it5c054@college.edu,IT,5,3,C
IT5C055,Aarav Reddy,it5c055@college.edu,IT,5,3,C
IT5C056,Ananya Kapoor,it5c056@college.edu,IT,5,3,C
IT5C057,Priya Patel,it5c057@college.edu,IT,5,3,C
IT5C058,Yash Menon,it5c058@college.edu,IT,5,3,C
IT5C059,Ananya Bose,it5c059@college.edu,IT,5,3,C
IT5C060,Aditya Shah,it5c060@college.edu,IT,5,3,C
CS3A001,Nikhil Patel,cs3a001@college.edu,CSE,3,2,A
CS3A002,Varun Rao,cs3a002@college.edu,CSE,3,2,A
CS3A003,Kritika Iyer,cs3a003@college.edu,CSE,3,2,A
CS3A004,Varun Kulkarni,cs3a004@college.edu,CSE,3,2,A
CS3A005,Rohan Kapoor,cs3a005@college.edu,CSE,3,2,A
CS3A006,Kritika Malhotra,cs3a006@college.edu,CSE,3,2,A
CS3A007,Nikhil Bose,cs3a007@college.edu,CSE,3,2,A
CS3A008,Nikita Chauhan,cs3a008@college.edu,CSE,3,2,A
CS3A009,Aditya Menon,cs3a009@college.edu,CSE,3,2,A
CS3A010,Siddharth Pillai,cs3a010@college.edu,CSE,3,2,A
CS3A011,Akash Kapoor,cs3a011@college.edu,CSE,3,2,A
CS3A012,Omkar Bose,cs3a012@college.edu,CSE,3,2,A
CS3A013,Rohan Nair,cs3a013@college.edu,CSE,3,2,A
CS3A014,Omkar Reddy,cs3a014@college.edu,CSE,3,2,A
CS3A015,Omkar Nair,cs3a015@college.edu,CSE,3,2,A
CS3A016,Aditi Kulkarni,cs3a016@college.edu,CSE,3,2,A
CS3A017,Pallavi Nair,cs3a017@college.edu,CSE,3,2,A
CS3A018,Tanvi Reddy,cs3a018@college.edu,CSE,3,2,A
CS3A019,Meera Menon,cs3a019@college.edu,CSE,3,2,A
CS3A020,Shruti Bhatt,cs3a020@college.edu,CSE,3,2,A
CS3A021,Karan Malhotra,cs3a021@college.edu,CSE,3,2,A
CS3A022,Meera Iyer,cs3a022@college.edu,CSE,3,2,A
CS3A023,Isha Iyer,cs3a023@college.edu,CSE,3,2,A
CS3A024,Vivek Rao,cs3a024@college.edu,CSE,3,2,A
CS3A025,Tanvi Bhatt,cs3a025@college.edu,CSE,3,2,A
CS3A026,Pallavi Patel,cs3a026@college.edu,CSE,3,2,A
CS3A027,Nikhil Gupta,cs3a027@college.edu,CSE,3,2,A
CS3A028,Harsh Chauhan,cs3a028@college.edu,CSE,3,2,A
CS3A029,Riya Desai,cs3a029@college.edu,CSE,3,2,A
CS3A030,Nikhil Malhotra,cs3a030@college.edu,CSE,3,2,A
CS3A031,Yash Kapoor,cs3a031@college.edu,CSE,3,2,A
CS3A032,Rahul Bhatt,cs3a032@college.edu,CSE,3,2,A
CS3A033,Kritika Chauhan,cs3a033@college.edu,CSE,3,2,A
CS3A034,Isha Desai,cs3a034@college.edu,CSE,3,2,A
CS3A035,Priya Rao,cs3a035@college.edu,CSE,3,2,A
CS3A036,Riya Desai,cs3a036@college.edu,CSE,3,2,A
CS3A037,Isha Kulkarni,cs3a037@college.edu,CSE,3,2,A
CS3A038,Sneha Reddy,cs3a038@college.edu,CSE,3,2,A
CS3A039,Diya Shah,cs3a039@college.edu,CSE,3,2,A
